Date: 2022-07-13 01:28:27s, Time_Cost: 9s, Epoch: [152/2000], Train_PSNR: 27.26, Val_PSNR: 30.32, Val_SSIM: 0.9504
Date: 2022-07-13 01:28:36s, Time_Cost: 9s, Epoch: [153/2000], Train_PSNR: 27.33, Val_PSNR: 29.76, Val_SSIM: 0.9507
Date: 2022-07-13 01:28:44s, Time_Cost: 9s, Epoch: [154/2000], Train_PSNR: 27.31, Val_PSNR: 29.64, Val_SSIM: 0.9502
Date: 2022-07-13 01:28:53s, Time_Cost: 9s, Epoch: [155/2000], Train_PSNR: 27.37, Val_PSNR: 29.81, Val_SSIM: 0.9508
Date: 2022-07-13 01:29:02s, Time_Cost: 9s, Epoch: [156/2000], Train_PSNR: 27.39, Val_PSNR: 31.83, Val_SSIM: 0.9495
Date: 2022-07-13 01:29:11s, Time_Cost: 9s, Epoch: [157/2000], Train_PSNR: 27.35, Val_PSNR: 30.65, Val_SSIM: 0.9495
Date: 2022-07-13 01:29:20s, Time_Cost: 9s, Epoch: [158/2000], Train_PSNR: 27.40, Val_PSNR: 30.60, Val_SSIM: 0.9497
Date: 2022-07-13 01:29:29s, Time_Cost: 9s, Epoch: [159/2000], Train_PSNR: 27.39, Val_PSNR: 29.77, Val_SSIM: 0.9498
Date: 2022-07-13 01:29:37s, Time_Cost: 9s, Epoch: [160/2000], Train_PSNR: 27.42, Val_PSNR: 30.76, Val_SSIM: 0.9503
Date: 2022-07-13 01:29:46s, Time_Cost: 9s, Epoch: [161/2000], Train_PSNR: 27.44, Val_PSNR: 30.01, Val_SSIM: 0.9493
Date: 2022-07-13 01:29:55s, Time_Cost: 9s, Epoch: [162/2000], Train_PSNR: 27.43, Val_PSNR: 29.71, Val_SSIM: 0.9502
Date: 2022-07-13 01:30:04s, Time_Cost: 9s, Epoch: [163/2000], Train_PSNR: 27.49, Val_PSNR: 31.28, Val_SSIM: 0.9501
Date: 2022-07-13 01:30:13s, Time_Cost: 9s, Epoch: [164/2000], Train_PSNR: 27.46, Val_PSNR: 30.11, Val_SSIM: 0.9498
Date: 2022-07-13 01:30:22s, Time_Cost: 9s, Epoch: [165/2000], Train_PSNR: 27.49, Val_PSNR: 30.22, Val_SSIM: 0.9494
Date: 2022-07-13 01:30:30s, Time_Cost: 9s, Epoch: [166/2000], Train_PSNR: 27.47, Val_PSNR: 30.31, Val_SSIM: 0.9504
Date: 2022-07-13 01:30:39s, Time_Cost: 9s, Epoch: [167/2000], Train_PSNR: 27.49, Val_PSNR: 30.40, Val_SSIM: 0.9507
Date: 2022-07-13 01:30:48s, Time_Cost: 9s, Epoch: [168/2000], Train_PSNR: 27.53, Val_PSNR: 30.31, Val_SSIM: 0.9506
Date: 2022-07-13 01:30:57s, Time_Cost: 9s, Epoch: [169/2000], Train_PSNR: 27.50, Val_PSNR: 29.74, Val_SSIM: 0.9498
Date: 2022-07-13 01:31:06s, Time_Cost: 9s, Epoch: [170/2000], Train_PSNR: 27.52, Val_PSNR: 29.09, Val_SSIM: 0.9494
Date: 2022-07-13 01:31:15s, Time_Cost: 9s, Epoch: [171/2000], Train_PSNR: 27.51, Val_PSNR: 31.82, Val_SSIM: 0.9506
Date: 2022-07-13 01:31:23s, Time_Cost: 9s, Epoch: [172/2000], Train_PSNR: 27.56, Val_PSNR: 31.27, Val_SSIM: 0.9498
Date: 2022-07-13 01:31:32s, Time_Cost: 9s, Epoch: [173/2000], Train_PSNR: 27.50, Val_PSNR: 30.74, Val_SSIM: 0.9498
Date: 2022-07-13 01:31:41s, Time_Cost: 9s, Epoch: [174/2000], Train_PSNR: 27.54, Val_PSNR: 31.68, Val_SSIM: 0.9496
