Date: 2022-07-21 20:45:47s, Time_Cost: 123s, Epoch: [90/100], Train_PSNR: 30.42, Val_PSNR: 26.14, Val_SSIM: 0.9565
Date: 2022-07-21 20:47:50s, Time_Cost: 123s, Epoch: [91/100], Train_PSNR: 30.57, Val_PSNR: 26.16, Val_SSIM: 0.9580
Date: 2022-07-21 20:49:53s, Time_Cost: 123s, Epoch: [92/100], Train_PSNR: 30.59, Val_PSNR: 26.20, Val_SSIM: 0.9589
Date: 2022-07-21 20:51:55s, Time_Cost: 123s, Epoch: [93/100], Train_PSNR: 30.63, Val_PSNR: 26.96, Val_SSIM: 0.9562
Date: 2022-07-21 20:53:58s, Time_Cost: 122s, Epoch: [94/100], Train_PSNR: 30.30, Val_PSNR: 26.52, Val_SSIM: 0.9587
Date: 2022-07-21 20:56:01s, Time_Cost: 123s, Epoch: [95/100], Train_PSNR: 29.75, Val_PSNR: 26.81, Val_SSIM: 0.9589
Date: 2022-07-21 20:58:01s, Time_Cost: 121s, Epoch: [96/100], Train_PSNR: 30.57, Val_PSNR: 26.00, Val_SSIM: 0.9576
Date: 2022-07-21 21:00:01s, Time_Cost: 120s, Epoch: [97/100], Train_PSNR: 30.78, Val_PSNR: 26.23, Val_SSIM: 0.9588
Date: 2022-07-21 21:02:00s, Time_Cost: 119s, Epoch: [98/100], Train_PSNR: 30.79, Val_PSNR: 26.03, Val_SSIM: 0.9577
Date: 2022-07-21 21:04:00s, Time_Cost: 119s, Epoch: [99/100], Train_PSNR: 30.83, Val_PSNR: 26.78, Val_SSIM: 0.9564
Date: 2022-07-21 21:05:59s, Time_Cost: 119s, Epoch: [100/100], Train_PSNR: 30.79, Val_PSNR: 27.07, Val_SSIM: 0.9613
