Date: 2022-07-14 21:26:25s, Time_Cost: 103s, Epoch: [137/300], Train_PSNR: 32.26, Val_PSNR: 26.20, Val_SSIM: 0.9412
Date: 2022-07-14 21:28:08s, Time_Cost: 103s, Epoch: [138/300], Train_PSNR: 32.30, Val_PSNR: 25.82, Val_SSIM: 0.9411
Date: 2022-07-14 21:29:50s, Time_Cost: 103s, Epoch: [139/300], Train_PSNR: 32.28, Val_PSNR: 25.88, Val_SSIM: 0.9411
Date: 2022-07-14 21:31:33s, Time_Cost: 103s, Epoch: [140/300], Train_PSNR: 32.26, Val_PSNR: 26.23, Val_SSIM: 0.9408
Date: 2022-07-14 21:33:16s, Time_Cost: 103s, Epoch: [141/300], Train_PSNR: 32.30, Val_PSNR: 26.34, Val_SSIM: 0.9410
Date: 2022-07-14 21:34:58s, Time_Cost: 103s, Epoch: [142/300], Train_PSNR: 32.32, Val_PSNR: 26.51, Val_SSIM: 0.9413
Date: 2022-07-14 21:36:41s, Time_Cost: 103s, Epoch: [143/300], Train_PSNR: 32.30, Val_PSNR: 25.96, Val_SSIM: 0.9389
Date: 2022-07-14 21:38:23s, Time_Cost: 103s, Epoch: [144/300], Train_PSNR: 32.37, Val_PSNR: 25.59, Val_SSIM: 0.9406
Date: 2022-07-14 21:40:07s, Time_Cost: 103s, Epoch: [145/300], Train_PSNR: 32.34, Val_PSNR: 25.57, Val_SSIM: 0.9404
Date: 2022-07-14 21:41:49s, Time_Cost: 103s, Epoch: [146/300], Train_PSNR: 32.34, Val_PSNR: 25.83, Val_SSIM: 0.9399
Date: 2022-07-14 21:43:32s, Time_Cost: 103s, Epoch: [147/300], Train_PSNR: 32.38, Val_PSNR: 25.63, Val_SSIM: 0.9402
Date: 2022-07-14 21:45:14s, Time_Cost: 103s, Epoch: [148/300], Train_PSNR: 32.35, Val_PSNR: 26.04, Val_SSIM: 0.9403
Date: 2022-07-14 21:46:57s, Time_Cost: 103s, Epoch: [149/300], Train_PSNR: 32.38, Val_PSNR: 25.82, Val_SSIM: 0.9389
Date: 2022-07-14 21:48:40s, Time_Cost: 103s, Epoch: [150/300], Train_PSNR: 32.39, Val_PSNR: 25.19, Val_SSIM: 0.9374
Date: 2022-07-14 21:50:23s, Time_Cost: 103s, Epoch: [151/300], Train_PSNR: 32.43, Val_PSNR: 25.84, Val_SSIM: 0.9386
Date: 2022-07-14 21:52:05s, Time_Cost: 103s, Epoch: [152/300], Train_PSNR: 31.41, Val_PSNR: 25.20, Val_SSIM: 0.9177
