Date: 2022-07-20 16:35:00s, Time_Cost: 122s, Epoch: [84/250], Train_PSNR: 29.25, Val_PSNR: 26.42, Val_SSIM: 0.9317
Date: 2022-07-20 16:37:03s, Time_Cost: 123s, Epoch: [85/250], Train_PSNR: 29.25, Val_PSNR: 26.43, Val_SSIM: 0.9318
Date: 2022-07-20 16:39:06s, Time_Cost: 123s, Epoch: [86/250], Train_PSNR: 29.26, Val_PSNR: 26.33, Val_SSIM: 0.9314
Date: 2022-07-20 16:41:09s, Time_Cost: 123s, Epoch: [87/250], Train_PSNR: 29.27, Val_PSNR: 26.34, Val_SSIM: 0.9311
Date: 2022-07-20 16:43:12s, Time_Cost: 122s, Epoch: [88/250], Train_PSNR: 29.27, Val_PSNR: 26.35, Val_SSIM: 0.9316
Date: 2022-07-20 16:45:14s, Time_Cost: 122s, Epoch: [89/250], Train_PSNR: 29.28, Val_PSNR: 26.34, Val_SSIM: 0.9316
Date: 2022-07-20 16:47:17s, Time_Cost: 123s, Epoch: [90/250], Train_PSNR: 29.28, Val_PSNR: 26.42, Val_SSIM: 0.9313
Date: 2022-07-20 16:49:19s, Time_Cost: 122s, Epoch: [91/250], Train_PSNR: 29.28, Val_PSNR: 26.43, Val_SSIM: 0.9315
Date: 2022-07-20 16:51:22s, Time_Cost: 123s, Epoch: [92/250], Train_PSNR: 29.29, Val_PSNR: 26.37, Val_SSIM: 0.9311
Date: 2022-07-20 16:53:25s, Time_Cost: 123s, Epoch: [93/250], Train_PSNR: 29.28, Val_PSNR: 26.36, Val_SSIM: 0.9314
Date: 2022-07-20 16:55:29s, Time_Cost: 124s, Epoch: [94/250], Train_PSNR: 29.30, Val_PSNR: 26.40, Val_SSIM: 0.9317
Date: 2022-07-20 16:57:31s, Time_Cost: 122s, Epoch: [95/250], Train_PSNR: 29.30, Val_PSNR: 26.42, Val_SSIM: 0.9317
Date: 2022-07-20 16:59:34s, Time_Cost: 123s, Epoch: [96/250], Train_PSNR: 29.30, Val_PSNR: 26.31, Val_SSIM: 0.9311
